.config,avg_rank,mean_preci,mean_soft_preci,mean_recall,mean_soft_acc,cost,rbf_sigma
Preprocessor1_Model04,0.975,0.49117647058823527,0.6470588235294118,0.48405797101449277,0.5238095238095238,29.13504092691946,0.0010062530997719291
Preprocessor1_Model19,0.9527777777777777,0.4704225352112676,0.6225352112676056,0.48405797101449277,0.5242857142857142,13.596441796971796,6.611849291528004e-4
Preprocessor1_Model15,0.6722222222222223,0.41455696202531644,0.5822784810126582,0.37971014492753624,0.4928571428571429,1.9606203751317544,0.0024990078997970473
Preprocessor1_Model18,0.65,0.3729281767955801,0.5400552486187845,0.391304347826087,0.49238095238095236,0.8936740165038185,0.010478255915535799
Preprocessor1_Model03,0.5611111111111112,0.27440633245382584,0.48284960422163586,0.30144927536231886,0.45571428571428574,0.21767781699621816,0.07372992654875253
Preprocessor1_Model11,0.3638888888888889,0.2553191489361702,0.4563829787234043,0.34782608695652173,0.42,0.09745554322710337,0.3772142079693992
Preprocessor1_Model01,0.12777777777777777,0.2692307692307692,0.44047619047619047,0.4260869565217391,0.35904761904761906,0.0027599601154380403,2.7139115987948804e-7
Preprocessor1_Model02,0.12777777777777777,0.2692307692307692,0.44047619047619047,0.4260869565217391,0.35904761904761906,0.6022933698697611,1.6424659313687568e-8
Preprocessor1_Model05,0.12777777777777777,0.2692307692307692,0.44047619047619047,0.4260869565217391,0.35904761904761906,0.004323414715739094,1.3218178878143412e-4
Preprocessor1_Model06,0.12777777777777777,0.2692307692307692,0.44047619047619047,0.4260869565217391,0.35904761904761906,0.010149202588483414,2.1971608267661083e-5
Preprocessor1_Model08,0.12777777777777777,0.2692307692307692,0.44047619047619047,0.4260869565217391,0.35904761904761906,9.678174247636367,6.3482766743539125e-9
Preprocessor1_Model09,0.12777777777777777,0.2692307692307692,0.44047619047619047,0.4260869565217391,0.35904761904761906,0.04795009764383853,6.862634219189101e-7
Preprocessor1_Model10,0.12777777777777777,0.2692307692307692,0.44047619047619047,0.4260869565217391,0.35904761904761906,0.025064845291110544,1.1796395579615252e-9
Preprocessor1_Model12,0.12777777777777777,0.2692307692307692,0.44047619047619047,0.4260869565217391,0.35904761904761906,3.776422072997319,3.6590901039396755e-6
Preprocessor1_Model13,0.12777777777777777,0.2692307692307692,0.44047619047619047,0.4260869565217391,0.35904761904761906,0.0010452202765040249,1.4974265206202383e-5
Preprocessor1_Model14,0.12777777777777777,0.2692307692307692,0.44047619047619047,0.4260869565217391,0.35904761904761906,0.03365441669328112,1.607116896086846e-10
Preprocessor1_Model16,0.12777777777777777,0.2692307692307692,0.44047619047619047,0.4260869565217391,0.35904761904761906,2.3413980975148667,6.963725037064363e-8
Preprocessor1_Model17,0.12777777777777777,0.2692307692307692,0.44047619047619047,0.4260869565217391,0.35904761904761906,0.008427099627889212,6.112394210678722e-10
Preprocessor1_Model07,0.10833333333333332,0.20535714285714285,0.43080357142857145,0.13333333333333333,0.4533333333333333,0.27155323270703696,0.2629595598085396
