.config,avg_rank,mean_preci,mean_soft_preci,mean_recall,mean_soft_acc,cost,rbf_sigma
Preprocessor1_Model02,0.4388888888888889,0.34,0.55,0.36074270557029176,0.4744186046511627,0.018665207217122188,0.010995771127940774
Preprocessor1_Model08,0.39999999999999997,0.3258426966292135,0.5149812734082397,0.46153846153846156,0.4502325581395352,0.1757668571549042,0.0030865401826373246
Preprocessor1_Model01,0.24444444444444444,0.35733333333333334,0.5746666666666667,0.35543766578249336,0.4772093023255816,0.0022746271406595977,0.08941512382619768
Preprocessor1_Model03,0.24444444444444444,0.35733333333333334,0.5746666666666667,0.35543766578249336,0.4772093023255816,0.3586688618014486,1.4785952157026472e-10
Preprocessor1_Model04,0.24444444444444444,0.35733333333333334,0.5746666666666667,0.35543766578249336,0.4772093023255816,0.0010282870608023381,1.1430623974100119e-5
Preprocessor1_Model05,0.24444444444444444,0.35733333333333334,0.5746666666666667,0.35543766578249336,0.4772093023255816,0.047367835314822256,3.013108273594845e-6
Preprocessor1_Model06,0.24444444444444444,0.35733333333333334,0.5746666666666667,0.35543766578249336,0.4772093023255816,0.00475943379173742,1.404157514249666e-4
Preprocessor1_Model07,0.24444444444444444,0.35733333333333334,0.5746666666666667,0.35543766578249336,0.4772093023255816,26.80894138810214,1.5942125813381776e-8
Preprocessor1_Model09,0.24444444444444444,0.35733333333333334,0.5746666666666667,0.35543766578249336,0.4772093023255816,5.08647345583876,1.6663533226938308e-9
Preprocessor1_Model10,0.24444444444444444,0.35733333333333334,0.5746666666666667,0.35543766578249336,0.4772093023255816,1.3510723374809905,9.423516446778811e-10
Preprocessor1_Model13,0.24444444444444444,0.35733333333333334,0.5746666666666667,0.35543766578249336,0.4772093023255816,0.011955206555031869,5.121888693219375e-8
Preprocessor1_Model14,0.24444444444444444,0.35733333333333334,0.5746666666666667,0.35543766578249336,0.4772093023255816,0.006772604115299757,0.0015465412125472652
Preprocessor1_Model15,0.24444444444444444,0.35733333333333334,0.5746666666666667,0.35543766578249336,0.4772093023255816,0.5719620815995574,4.249985297494647e-7
Preprocessor1_Model16,0.24444444444444444,0.35733333333333334,0.5746666666666667,0.35543766578249336,0.4772093023255816,0.03217802370133627,1.8805759848624207e-5
Preprocessor1_Model17,0.24444444444444444,0.35733333333333334,0.5746666666666667,0.35543766578249336,0.4772093023255816,0.7905395857502572,8.739562353748474e-9
Preprocessor1_Model18,0.24444444444444444,0.35733333333333334,0.5746666666666667,0.35543766578249336,0.4772093023255816,9.753281945396898,6.079967682429214e-7
Preprocessor1_Model19,0.08055555555555555,0.3048780487804878,0.5467479674796748,0.1989389920424403,0.4344186046511624,0.10750077195041707,0.8261055899993518
Preprocessor1_Model12,0.07777777777777778,0.3147208121827411,0.501269035532995,0.32891246684350134,0.4209302325581396,15.162590480626786,6.424626130107083e-4
Preprocessor1_Model11,0.025,0.2733644859813084,0.47079439252336447,0.3103448275862069,0.424186046511628,2.333791885450778,0.04423757928881721
