model,ticker,x,y,r
v02a,CVX,roll_sd_volu200_251d_lag5,roll_sd_volu200_251d_lag17,0.9750735784046759
v02a,AXP,roll_sd_volu200_251d_lag5,roll_sd_volu200_251d_lag17,0.9743378666186734
v02a,AAPL,roll_sd_volu200_251d,roll_sd_volu200_251d_lag17,0.9736849001141789
v02a,AMD,roll_sd_ret5d_147d,roll_sd_ret5d_147d_lag11,0.9735646548332876
v02a,FDX,roll_sd_ret1d_147d,roll_sd_ret5d_147d_lag5,0.9730220851912769
v02a,AMD,roll_sd_volu200_251d,roll_sd_volu200_251d_lag17,0.972257018097697
v02a,HAL,roll_sd_ret1d_147d,roll_sd_ret5d_147d,0.9719206783610985
v02a,CVX,roll_mean_ret1d_61d,roll_mean_ret5d_61d,0.9717727380392234
v02a,AXP,roll_sd_ret1d_147d,roll_sd_ret5d_147d_lag11,0.9717078611861801
v02a,HAL,roll_sd_ret1d_147d,roll_sd_ret5d_147d_lag5,0.9699856255449165
v02a,CVX,roll_sd_ret1d_147d,roll_sd_ret5d_147d,0.9699447265521849
v02a,SBUX,roll_sd_ret1d_147d,roll_sd_ret5d_147d,0.9673840810964702
v02a,HAL,roll_sd_volu200_251d,roll_sd_volu200_251d_lag17,0.9658171378187553
v02a,FDX,roll_sd_volu200_251d_lag5,roll_sd_volu200_251d_lag17,0.9651805334480082
v02a,CVX,roll_sd_ret1d_147d,roll_sd_ret5d_147d_lag5,0.963582425728813
v02a,FDX,roll_sd_ret1d_147d,roll_sd_ret5d_147d_lag11,0.9634830098084279
v02a,SBUX,roll_sd_ret1d_147d,roll_sd_ret5d_147d_lag5,0.9630497856281363
v02a,HAL,roll_sd_ret1d_147d,roll_sd_ret5d_147d_lag11,0.9607222917255246
v02a,CVX,roll_sd_volu200_251d,roll_sd_volu200_251d_lag17,0.9578550781847859
v02a,AXP,roll_sd_volu200_251d,roll_sd_volu200_251d_lag17,0.9573831852630992
v02a,AXP,roll_sd_ret1d_61d,roll_sd_intraday_61d,0.9573187773691288
v02a,AAPL,roll_sd_ret1d_147d,roll_sd_ret5d_147d,0.9551357328780485
v02a,SBUX,roll_sd_ret1d_147d,roll_sd_ret5d_147d_lag11,0.9535778566067084
v02a,SBUX,roll_sd_volu200_251d_lag5,roll_sd_volu200_251d_lag17,0.9512378213127024
v02a,AMD,roll_sd_ret1d_147d,roll_sd_ret5d_147d,0.9494640882268895
v02a,CVX,roll_sd_ret1d_147d,roll_sd_ret5d_147d_lag11,0.9482559089452262
v02a,FDX,roll_sd_volu200_251d,roll_sd_volu200_251d_lag17,0.9471160233418862
v02a,AAPL,roll_sd_ret1d_147d,roll_sd_ret5d_147d_lag5,0.9463498704041909
v02a,CVX,roll_sd_ret1d_61d,roll_sd_intraday_61d,0.9420691138428222
v02a,AMD,roll_sd_ret1d_147d,roll_sd_ret5d_147d_lag5,0.9404905882665907
v02a,AAPL,roll_sd_ret1d_147d,roll_sd_ret5d_147d_lag11,0.9315953327504144
v02a,AXP,roll_sd_ret21d_251d,roll_sd_intraday_251d,0.9263154827311505
v02a,AMD,roll_sd_ret1d_147d,roll_sd_ret5d_147d_lag11,0.9261531378422583
v02a,AXP,atr17_open,roll_sd_intraday_61d,0.9245629191506876
v02a,SBUX,roll_sd_volu200_251d,roll_sd_volu200_251d_lag17,0.9218164341053264
v02a,AXP,roll_sd_ret1d_147d,roll_sd_intraday_251d,0.9211390323304883
v02a,AXP,roll_sd_intraday_251d,roll_sd_ret21d_251d_lag7,0.9139498075826921
v02a,AXP,roll_sd_ret5d_147d_lag11,roll_sd_intraday_251d,0.9099308389504955
v02a,AXP,atr17_open,roll_sd_ret1d_61d,0.9098879715319035
v02a,AXP,roll_sd_ret5d_147d_lag5,roll_sd_intraday_251d,0.909775541292827
v02a,AXP,roll_sd_ret5d_147d,roll_sd_intraday_251d,0.9076858311716204
v02a,AXP,atr11_open,roll_sd_intraday_61d,0.9075973915174976
v02a,AXP,roll_sd_intraday_251d,roll_sd_ret21d_251d_lag19,0.9052597934754676
v02a,HAL,roll_sd_ret1d_61d,roll_sd_intraday_61d,0.8955084067127442
v02a,AXP,roll_sd_ret1d_61d,roll_sd_ret1d_147d,0.8899559192277995
v02a,AXP,atr11_open,roll_sd_ret1d_61d,0.8877151489442376
v02a,CVX,atr17_open,roll_sd_intraday_61d,0.886917533871089
v02a,CVX,atr17_open,roll_sd_ret1d_61d,0.8856200857178615
v02a,AXP,roll_sd_ret5d_147d_lag11,roll_sd_ret21d_251d,0.8840758333211794
v02a,SBUX,atr17_open,roll_sd_ret1d_61d,0.8825664980896147
v02a,CVX,roll_sd_ret1d_147d,roll_sd_intraday_251d,0.8762662271356915
v02a,FDX,atr17_open,roll_sd_ret1d_61d,0.8749554458242491
v02a,AXP,roll_sd_ret5d_147d_lag5,roll_sd_ret21d_251d,0.8716691829459303
v02a,FDX,roll_sd_ret1d_61d,roll_sd_ret1d_147d,0.870180821043571
v02a,HAL,roll_sd_ret5d_147d_lag11,roll_sd_ret21d_251d,0.870169825280831
v02a,AXP,roll_sd_ret5d_147d_lag11,roll_sd_ret21d_251d_lag7,0.8695605876764474
v02a,FDX,roll_sd_ret1d_147d,roll_sd_intraday_251d,0.8662489156920339
