model,ticker,x,y,r
v01a,AXP,roll_sd_ret1d_63days,roll_sd_ret5d_3M,0.9753697840704754
v01a,FDX,above_sd_ret5d_3M,above_sd_ret5d_7M,0.9635719912602823
v01a,FDX,roll_sd_ret1d_63days,roll_sd_ret5d_3M,0.9628151338126617
v01a,SBUX,above_sd_ret5d_3M,above_sd_ret5d_7M,0.961962987418346
v01a,AXP,above_sd_ret5d_3M,above_sd_ret5d_7M,0.960819807842699
v01a,CVX,above_sd_ret5d_3M,above_sd_ret5d_7M,0.9602791472622839
v01a,HAL,above_sd_ret5d_3M,above_sd_ret5d_7M,0.9584371953760636
v01a,AAPL,above_sd_ret5d_3M,above_sd_ret5d_7M,0.9583815236467056
v01a,HAL,roll_sd_ret1d_63days,roll_sd_ret5d_3M,0.9583754425926355
v01a,AMD,above_sd_ret5d_3M,above_sd_ret5d_7M,0.9574907136887159
v01a,AXP,roll_sd_ret1d_63days,roll_sd_intraday_3M,0.9550142985988768
v01a,CVX,roll_sd_ret1d_63days,roll_sd_ret5d_3M,0.953259681768772
v01a,SBUX,roll_sd_ret1d_63days,roll_sd_ret5d_3M,0.9496675490080051
v01a,CVX,roll_sd_ret1d_63days,roll_sd_intraday_3M,0.9397772113293349
v01a,AXP,roll_sd_ret5d_3M,roll_sd_intraday_3M,0.9226413351782885
v01a,AAPL,roll_sd_ret1d_63days,roll_sd_ret5d_3M,0.9160214130354546
v01a,AMD,roll_sd_ret1d_63days,roll_sd_ret5d_3M,0.9154902504483086
v01a,HAL,roll_sd_ret1d_63days,roll_sd_intraday_3M,0.893289323561184
v01a,AXP,roll_sd_ret5d_3M,roll_sd_ret5d_7M,0.889052493759755
v01a,CVX,roll_sd_ret5d_3M,roll_sd_intraday_3M,0.8845387793786079
v01a,AXP,roll_sd_ret1d_63days,roll_sd_ret5d_7M,0.8646117601453008
v01a,AXP,roll_sd_ret5d_7M,roll_sd_ret21d_1Y,0.8596501827536388
v01a,SBUX,roll_sd_ret1d_63days,roll_sd_intraday_3M,0.8588882688530911
v01a,HAL,roll_sd_ret5d_7M,roll_sd_ret21d_1Y,0.8547006932137108
v01a,AMD,roll_sd_ret1d_63days,roll_sd_intraday_3M,0.8528771423906227
v01a,AAPL,roll_sd_ret5d_7M,roll_sd_ret21d_1Y,0.8518963303344407
v01a,FDX,roll_sd_ret1d_63days,roll_sd_ret5d_7M,0.8507817319044879
v01a,HAL,roll_sd_ret5d_3M,roll_sd_intraday_3M,0.8492746173967521
v01a,FDX,roll_sd_ret5d_3M,roll_sd_ret5d_7M,0.8492334222226067
v01a,SBUX,roll_sd_ret5d_3M,roll_sd_ret5d_7M,0.8477212113168677
v01a,SBUX,corr_ema20_sma50_199d,corr_ema20_sma50_1Y,0.8468043697769725
v01a,FDX,roll_sd_ret1d_63days,roll_sd_intraday_3M,0.8455539232402614
v01a,HAL,roll_sd_ret1d_63days,roll_sd_ret5d_7M,0.8385489334306365
